# Список
12. Marker ID: 787 , Average Detection Rate: 93.79%
13. Marker ID: 842 , Average Detection Rate: 93.10%
14. Marker ID: 861 , Average Detection Rate: 92.28%
15. Marker ID: 849 , Average Detection Rate: 89.46%
16. Marker ID: 865 , Average Detection Rate: 87.34%
17. Marker ID: 767 , Average Detection Rate: 87.20%
18. Marker ID: 848 , Average Detection Rate: 86.65%
19. Marker ID: 852 , Average Detection Rate: 85.07%
20. Marker ID: 754 , Average Detection Rate: 84.32%
21. Marker ID: 751 , Average Detection Rate: 84.20%
22. Marker ID: 757 , Average Detection Rate: 82.68%
23. Marker ID: 845 , Average Detection Rate: 80.45%
24. Marker ID: 858 , Average Detection Rate: 79.58%
25. Marker ID: 854 , Average Detection Rate: 78.19%
26. Marker ID: 755 , Average Detection Rate: 77.09%
27. Marker ID: 857 , Average Detection Rate: 71.67%
28. Marker ID: 851 , Average Detection Rate: 70.13%
29. Marker ID: 863 , Average Detection Rate: 69.83%
30. Marker ID: 766 , Average Detection Rate: 65.83%
31. Marker ID: 871 , Average Detection Rate: 64.44%
32. Marker ID: 862 , Average Detection Rate: 60.99%
33. Marker ID: 843 , Average Detection Rate: 57.57%
34. Marker ID: 753 , Average Detection Rate: 54.93%
36. Marker ID: 846 , Average Detection Rate: 42.43%
37. Marker ID: 859 , Average Detection Rate: 37.67%
1. Marker ID: 886 , Average Detection Rate: 97.36%
2. Marker ID: 897 , Average Detection Rate: 94.44%
3. Marker ID: 918 , Average Detection Rate: 91.58%
4. Marker ID: 907 , Average Detection Rate: 90.84%
5. Marker ID: 887 , Average Detection Rate: 90.51%
6. Marker ID: 840 , Average Detection Rate: 88.41%
7. Marker ID: 847 , Average Detection Rate: 87.89%
8. Marker ID: 906 , Average Detection Rate: 87.58%
9. Marker ID: 895 , Average Detection Rate: 85.18%
10. Marker ID: 904 , Average Detection Rate: 84.10%
11. Marker ID: 910 , Average Detection Rate: 83.47%
12. Marker ID: 890 , Average Detection Rate: 82.54%
13. Marker ID: 908 , Average Detection Rate: 80.13%
14. Marker ID: 894 , Average Detection Rate: 77.97%
15. Marker ID: 911 , Average Detection Rate: 77.97%
16. Marker ID: 889 , Average Detection Rate: 75.70%
17. Marker ID: 884 , Average Detection Rate: 74.27%
18. Marker ID: 872 , Average Detection Rate: 73.20%
19. Marker ID: 841 , Average Detection Rate: 70.84%
20. Marker ID: 913 , Average Detection Rate: 70.15%
21. Marker ID: 903 , Average Detection Rate: 69.90%
22. Marker ID: 896 , Average Detection Rate: 66.01%
